number,title,author,date,views,download_url
5253,[인공지능전공]경북대학교 공동학위를 위한 2025학년도 2학기 학점교류 수요 조사새글,황유경,2025.05.14,85,[]
5252,"[수업]2025학년도 여름계절수업 교류 수학 안내[동아대, 신라대, 계명대]새글",임현정,2025.05.14,9,"['https://cse.pusan.ac.kr/bbs/cse/2605/939031/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/939032/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/939033/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/939034/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/939035/download.do']"
5251,[소프트웨어융합교육원]2025 AI-Powered SW전공교수 TOPCIT 릴레이 특강새글,임현정,2025.05.12,138,[]
5250,[학과활동인정] [소프트웨어융합교육원]2025 SW취업특강: CSE 취업한 선배랑 잡(jo새글,임현정,2025.05.08,408,[]
5249,[소프트웨어융합교육원]2025 SW취업특강(취업! 현직자에게 직접 정답을 묻다) 참여자 모새글,임현정,2025.05.08,231,[]
5248,"[수업]2025학년도 여름계절수업 교류 수학 안내[국립경국대, 서강대, 울산과학기술원]새글",임현정,2025.05.08,69,"['https://cse.pusan.ac.kr/bbs/cse/2605/938383/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/938384/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/938385/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/938386/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/938387/download.do']"
5247,[수업]2025학년도 여름계절수업 교류 수학 안내[중앙대]새글,임현정,2025.05.08,39,"['https://cse.pusan.ac.kr/bbs/cse/2605/938244/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/938245/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/938246/download.do']"
5246,"[수업]2025학년도 여름계절수업 교류 수학 안내[고려대 에너지신산업, 인하대]새글",임현정,2025.05.08,40,"['https://cse.pusan.ac.kr/bbs/cse/2605/938240/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/938241/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/938242/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/938243/download.do']"
5245,[소프트웨어융합교육원] 제5회 PNU Coding Challenge 개최 안내(SW중심대학,임현정,2025.05.07,462,['https://cse.pusan.ac.kr/bbs/cse/2605/938093/download.do']
5244,[수업]<컴퓨터알고리즘실무> 개설 안내_2025학년도 여름도약수업,황유경,2025.05.07,434,['https://cse.pusan.ac.kr/bbs/cse/2605/937968/download.do']
5253,[인공지능전공]경북대학교 공동학위를 위한 2025학년도 2학기 학점교류 수요 조사새글,황유경,2025.05.14,85,[]
5252,"[수업]2025학년도 여름계절수업 교류 수학 안내[동아대, 신라대, 계명대]새글",임현정,2025.05.14,9,"['https://cse.pusan.ac.kr/bbs/cse/2605/939031/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/939032/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/939033/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/939034/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/939035/download.do']"
5251,[소프트웨어융합교육원]2025 AI-Powered SW전공교수 TOPCIT 릴레이 특강새글,임현정,2025.05.12,138,[]
5250,[학과활동인정] [소프트웨어융합교육원]2025 SW취업특강: CSE 취업한 선배랑 잡(jo새글,임현정,2025.05.08,408,[]
5249,[소프트웨어융합교육원]2025 SW취업특강(취업! 현직자에게 직접 정답을 묻다) 참여자 모새글,임현정,2025.05.08,231,[]
5248,"[수업]2025학년도 여름계절수업 교류 수학 안내[국립경국대, 서강대, 울산과학기술원]새글",임현정,2025.05.08,69,"['https://cse.pusan.ac.kr/bbs/cse/2605/938383/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/938384/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/938385/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/938386/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/938387/download.do']"
5247,[수업]2025학년도 여름계절수업 교류 수학 안내[중앙대]새글,임현정,2025.05.08,39,"['https://cse.pusan.ac.kr/bbs/cse/2605/938244/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/938245/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/938246/download.do']"
5246,"[수업]2025학년도 여름계절수업 교류 수학 안내[고려대 에너지신산업, 인하대]새글",임현정,2025.05.08,40,"['https://cse.pusan.ac.kr/bbs/cse/2605/938240/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/938241/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/938242/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/938243/download.do']"
5245,[소프트웨어융합교육원] 제5회 PNU Coding Challenge 개최 안내(SW중심대학,임현정,2025.05.07,462,['https://cse.pusan.ac.kr/bbs/cse/2605/938093/download.do']
5244,[수업]<컴퓨터알고리즘실무> 개설 안내_2025학년도 여름도약수업,황유경,2025.05.07,434,['https://cse.pusan.ac.kr/bbs/cse/2605/937968/download.do']
5253,[인공지능전공]경북대학교 공동학위를 위한 2025학년도 2학기 학점교류 수요 조사새글,황유경,2025.05.14,85,[]
5252,"[수업]2025학년도 여름계절수업 교류 수학 안내[동아대, 신라대, 계명대]새글",임현정,2025.05.14,9,"['https://cse.pusan.ac.kr/bbs/cse/2605/939031/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/939032/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/939033/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/939034/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/939035/download.do']"
5251,[소프트웨어융합교육원]2025 AI-Powered SW전공교수 TOPCIT 릴레이 특강새글,임현정,2025.05.12,138,[]
5250,[학과활동인정] [소프트웨어융합교육원]2025 SW취업특강: CSE 취업한 선배랑 잡(jo새글,임현정,2025.05.08,408,[]
5249,[소프트웨어융합교육원]2025 SW취업특강(취업! 현직자에게 직접 정답을 묻다) 참여자 모새글,임현정,2025.05.08,231,[]
5248,"[수업]2025학년도 여름계절수업 교류 수학 안내[국립경국대, 서강대, 울산과학기술원]새글",임현정,2025.05.08,69,"['https://cse.pusan.ac.kr/bbs/cse/2605/938383/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/938384/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/938385/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/938386/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/938387/download.do']"
5247,[수업]2025학년도 여름계절수업 교류 수학 안내[중앙대]새글,임현정,2025.05.08,39,"['https://cse.pusan.ac.kr/bbs/cse/2605/938244/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/938245/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/938246/download.do']"
5246,"[수업]2025학년도 여름계절수업 교류 수학 안내[고려대 에너지신산업, 인하대]새글",임현정,2025.05.08,40,"['https://cse.pusan.ac.kr/bbs/cse/2605/938240/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/938241/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/938242/download.do', 'https://cse.pusan.ac.kr/bbs/cse/2605/938243/download.do']"
5245,[소프트웨어융합교육원] 제5회 PNU Coding Challenge 개최 안내(SW중심대학,임현정,2025.05.07,462,['https://cse.pusan.ac.kr/bbs/cse/2605/938093/download.do']
5244,[수업]<컴퓨터알고리즘실무> 개설 안내_2025학년도 여름도약수업,황유경,2025.05.07,434,['https://cse.pusan.ac.kr/bbs/cse/2605/937968/download.do']
